OA11CD,LSOA11CD,All Ages
E00073130,E01014484,"353"
E00073132,E01014484,"309"
E00073133,E01014484,"353"
E00073143,E01014485,"307"
E00073156,E01014485,"301"
E00073158,E01014485,"324"
E00073161,E01014485,"378"
E00073164,E01014485,"284"
E00073166,E01014485,"279"
E00073147,E01014486,"500"
E00073150,E01014486,"392"
E00073168,E01014486,"333"
E00073172,E01014486,"269"
E00073176,E01014486,"339"
E00174044,E01014486,"314"
E00174058,E01014486,"260"
E00073159,E01014487,"299"
E00073162,E01014487,"389"
E00073163,E01014487,"356"
E00073165,E01014487,"353"
E00073170,E01014487,"544"
E00073160,E01014488,"331"
E00073169,E01014488,"446"
E00073171,E01014488,"470"
E00073173,E01014488,"323"
E00073174,E01014488,"296"
E00073167,E01014489,"405"
E00073177,E01014489,"333"
E00073178,E01014489,"326"
E00073179,E01014489,"340"
E00073182,E01014489,"422"
E00174279,E01014489,"291"
E00174289,E01014489,"267"
E00174311,E01014489,"154"
E00073152,E01014491,"402"
E00073153,E01014491,"575"
E00073154,E01014491,"377"
E00073155,E01014491,"375"
E00073157,E01014491,"412"
E00073191,E01014492,"259"
E00073194,E01014492,"340"
E00073196,E01014492,"212"
E00073197,E01014492,"378"
E00073198,E01014492,"195"
E00073208,E01014492,"228"
E00073184,E01014493,"327"
E00073195,E01014493,"303"
E00073199,E01014493,"264"
E00073200,E01014493,"286"
E00073202,E01014493,"305"
E00073193,E01014494,"337"
E00073201,E01014494,"261"
E00073204,E01014494,"295"
E00073207,E01014494,"287"
E00073210,E01014494,"354"
E00073183,E01014495,"288"
E00073203,E01014495,"289"
E00073205,E01014495,"376"
E00073206,E01014495,"442"
E00073209,E01014495,"290"
E00073211,E01014496,"429"
E00073212,E01014496,"453"
E00073213,E01014496,"334"
E00073217,E01014496,"335"
E00073218,E01014496,"360"
E00073185,E01014497,"318"
E00073187,E01014497,"370"
E00073192,E01014497,"270"
E00073216,E01014497,"350"
E00073220,E01014497,"343"
E00073215,E01014498,"367"
E00073219,E01014498,"358"
E00073221,E01014498,"285"
E00073222,E01014498,"400"
E00073223,E01014498,"305"
E00073186,E01014499,"302"
E00073188,E01014499,"260"
E00073189,E01014499,"299"
E00073190,E01014499,"373"
E00073214,E01014499,"378"
E00073250,E01014500,"436"
E00073251,E01014500,"333"
E00073254,E01014500,"307"
E00073256,E01014500,"303"
E00073260,E01014500,"295"
E00073245,E01014501,"357"
E00073249,E01014501,"258"
E00073253,E01014501,"369"
E00073257,E01014501,"362"
E00073259,E01014501,"231"
E00073261,E01014501,"337"
E00073240,E01014502,"353"
E00073242,E01014502,"229"
E00073252,E01014502,"375"
E00073255,E01014502,"409"
E00073258,E01014502,"304"
E00073262,E01014502,"242"
E00073224,E01014504,"279"
E00073231,E01014504,"432"
E00073236,E01014504,"277"
E00073241,E01014504,"272"
E00073248,E01014504,"298"
E00073227,E01014505,"267"
E00073230,E01014505,"335"
E00073232,E01014505,"291"
E00073234,E01014505,"300"
E00073237,E01014505,"322"
E00073238,E01014505,"278"
E00073229,E01014506,"269"
E00073233,E01014506,"326"
E00073243,E01014506,"350"
E00073246,E01014506,"306"
E00073247,E01014506,"299"
E00073268,E01014507,"407"
E00073270,E01014507,"388"
E00073273,E01014507,"254"
E00073281,E01014507,"374"
E00073297,E01014507,"366"
E00073264,E01014508,"359"
E00073265,E01014508,"502"
E00073276,E01014508,"308"
E00073285,E01014508,"332"
E00073263,E01014509,"425"
E00073269,E01014509,"429"
E00073279,E01014509,"804"
E00174281,E01014509,"266"
E00174332,E01014509,"307"
E00174333,E01014509,"213"
E00073272,E01014510,"382"
E00073292,E01014510,"595"
E00073293,E01014510,"420"
E00073294,E01014510,"489"
E00073299,E01014510,"382"
E00073277,E01014511,"310"
E00073282,E01014511,"427"
E00073283,E01014511,"375"
E00073286,E01014511,"330"
E00073284,E01014512,"212"
E00073288,E01014512,"349"
E00073289,E01014512,"324"
E00073290,E01014512,"323"
E00073291,E01014512,"321"
E00073267,E01014513,"277"
E00073278,E01014513,"376"
E00073280,E01014513,"330"
E00073287,E01014513,"265"
E00073295,E01014513,"327"
E00073266,E01014514,"340"
E00073271,E01014514,"516"
E00073274,E01014514,"488"
E00073296,E01014514,"326"
E00073298,E01014514,"490"
E00073300,E01014514,"255"
E00073306,E01014515,"240"
E00073307,E01014515,"299"
E00073308,E01014515,"329"
E00073309,E01014515,"276"
E00073310,E01014515,"349"
E00073304,E01014516,"322"
E00073311,E01014516,"338"
E00073312,E01014516,"387"
E00073314,E01014516,"334"
E00073315,E01014516,"208"
E00073313,E01014517,"326"
E00073316,E01014517,"267"
E00073317,E01014517,"239"
E00073318,E01014517,"341"
E00073319,E01014518,"425"
E00073320,E01014518,"338"
E00073321,E01014518,"321"
E00073323,E01014518,"300"
E00073325,E01014518,"387"
E00073324,E01014519,"367"
E00073326,E01014519,"288"
E00073327,E01014519,"325"
E00073328,E01014519,"358"
E00073322,E01014520,"289"
E00073329,E01014520,"255"
E00073331,E01014520,"354"
E00073332,E01014520,"274"
E00073333,E01014520,"302"
E00073301,E01014521,"327"
E00073330,E01014521,"369"
E00073334,E01014521,"305"
E00073336,E01014521,"303"
E00073302,E01014522,"426"
E00073303,E01014522,"373"
E00073305,E01014522,"295"
E00073335,E01014522,"416"
E00073337,E01014522,"318"
E00073338,E01014523,"292"
E00073357,E01014523,"337"
E00073361,E01014523,"335"
E00073362,E01014523,"361"
E00073367,E01014523,"290"
E00073358,E01014524,"319"
E00073359,E01014524,"308"
E00073360,E01014524,"262"
E00073363,E01014524,"319"
E00073365,E01014524,"311"
E00073366,E01014525,"405"
E00073368,E01014525,"289"
E00073373,E01014525,"278"
E00073374,E01014525,"340"
E00073375,E01014525,"274"
E00073342,E01014526,"418"
E00073364,E01014526,"296"
E00073369,E01014526,"308"
E00073372,E01014526,"263"
E00073376,E01014526,"263"
E00073339,E01014527,"287"
E00073343,E01014527,"392"
E00073370,E01014527,"212"
E00073371,E01014527,"171"
E00073377,E01014527,"237"
E00073344,E01014528,"244"
E00073346,E01014528,"352"
E00073348,E01014528,"271"
E00073350,E01014528,"351"
E00073353,E01014528,"348"
E00073345,E01014529,"173"
E00073349,E01014529,"318"
E00073351,E01014529,"389"
E00073352,E01014529,"235"
E00073354,E01014529,"353"
E00073340,E01014530,"263"
E00073341,E01014530,"283"
E00073347,E01014530,"196"
E00073355,E01014530,"367"
E00073356,E01014530,"392"
E00073396,E01014531,"597"
E00073397,E01014531,"280"
E00073400,E01014531,"305"
E00073402,E01014531,"280"
E00073403,E01014531,"290"
E00073404,E01014531,"252"
E00073378,E01014532,"267"
E00073393,E01014532,"317"
E00073398,E01014532,"297"
E00073399,E01014532,"304"
E00073401,E01014532,"300"
E00073406,E01014533,"283"
E00073407,E01014533,"389"
E00073409,E01014533,"302"
E00073412,E01014533,"285"
E00073413,E01014533,"257"
E00073389,E01014534,"336"
E00073405,E01014534,"349"
E00073408,E01014534,"351"
E00073410,E01014534,"276"
E00073411,E01014534,"319"
E00073380,E01014535,"396"
E00073381,E01014535,"461"
E00073382,E01014535,"364"
E00073384,E01014535,"451"
E00073388,E01014535,"312"
E00073379,E01014536,"333"
E00073383,E01014536,"273"
E00073385,E01014536,"346"
E00073386,E01014536,"337"
E00073387,E01014536,"227"
E00073390,E01014537,"332"
E00073391,E01014537,"309"
E00073392,E01014537,"385"
E00073394,E01014537,"484"
E00073395,E01014537,"345"
E00073415,E01014538,"227"
E00073421,E01014538,"443"
E00073425,E01014538,"537"
E00073445,E01014538,"220"
E00073446,E01014538,"670"
E00073416,E01014539,"304"
E00073426,E01014539,"398"
E00073440,E01014539,"213"
E00073442,E01014539,"452"
E00073443,E01014539,"259"
E00073444,E01014539,"252"
E00073436,E01014540,"557"
E00073438,E01014540,"678"
E00174231,E01014540,"368"
E00174274,E01014540,"69"
E00174293,E01014540,"739"
E00174294,E01014540,"406"
E00174295,E01014540,"1,242"
E00174296,E01014540,"346"
E00174297,E01014540,"157"
E00174324,E01014540,"653"
E00073417,E01014542,"908"
E00073420,E01014542,"286"
E00073423,E01014542,"264"
E00073433,E01014542,"593"
E00174055,E01014542,"3,164"
E00174312,E01014542,"245"
E00073472,E01014544,"320"
E00073477,E01014544,"263"
E00073480,E01014544,"277"
E00174220,E01014544,"606"
E00174275,E01014544,"159"
E00073473,E01014545,"158"
E00073474,E01014545,"177"
E00073476,E01014545,"284"
E00073478,E01014545,"241"
E00073479,E01014545,"236"
E00073481,E01014545,"455"
E00073449,E01014546,"202"
E00073452,E01014546,"227"
E00073453,E01014546,"534"
E00073482,E01014546,"295"
E00073483,E01014546,"288"
E00073450,E01014547,"268"
E00073451,E01014547,"262"
E00073454,E01014547,"264"
E00073456,E01014547,"273"
E00073457,E01014547,"194"
E00073458,E01014547,"274"
E00073447,E01014548,"284"
E00073455,E01014548,"322"
E00073462,E01014548,"405"
E00073463,E01014548,"200"
E00073467,E01014548,"274"
E00073471,E01014548,"201"
E00073461,E01014549,"261"
E00073465,E01014549,"359"
E00165771,E01014549,"458"
E00165772,E01014549,"121"
E00073448,E01014550,"364"
E00073464,E01014550,"368"
E00073466,E01014550,"537"
E00073468,E01014550,"407"
E00073469,E01014550,"247"
E00073470,E01014550,"461"
E00073487,E01014551,"254"
E00073513,E01014551,"277"
E00073516,E01014551,"316"
E00073517,E01014551,"241"
E00073518,E01014551,"287"
E00073519,E01014551,"313"
E00073509,E01014552,"323"
E00073510,E01014552,"274"
E00073511,E01014552,"250"
E00073512,E01014552,"302"
E00073514,E01014552,"328"
E00073515,E01014552,"286"
E00073500,E01014553,"396"
E00073502,E01014553,"389"
E00073504,E01014553,"318"
E00073505,E01014553,"276"
E00073506,E01014553,"288"
E00073508,E01014553,"248"
E00073486,E01014554,"407"
E00073488,E01014554,"250"
E00073489,E01014554,"187"
E00073490,E01014554,"254"
E00073491,E01014554,"423"
E00073492,E01014554,"261"
E00073485,E01014555,"228"
E00073493,E01014555,"345"
E00073494,E01014555,"407"
E00073495,E01014555,"584"
E00073496,E01014555,"682"
E00073484,E01014556,"252"
E00073497,E01014556,"273"
E00073498,E01014556,"242"
E00073499,E01014556,"210"
E00073501,E01014556,"347"
E00073503,E01014556,"259"
E00073507,E01014556,"176"
E00073521,E01014557,"294"
E00073530,E01014557,"311"
E00073554,E01014557,"252"
E00073557,E01014557,"328"
E00073558,E01014557,"343"
E00073526,E01014558,"330"
E00073527,E01014558,"367"
E00073528,E01014558,"342"
E00073529,E01014558,"291"
E00073555,E01014558,"288"
E00073556,E01014558,"272"
E00073522,E01014559,"310"
E00073531,E01014559,"363"
E00073532,E01014559,"506"
E00073533,E01014559,"313"
E00073535,E01014559,"207"
E00073540,E01014559,"212"
E00073523,E01014560,"269"
E00073524,E01014560,"299"
E00073534,E01014560,"297"
